Unnamed: 0,Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,How many students do you estimate there are in the room?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Parsed How many students do you estimate there are in the room?,Parsed What is your stress level (0-100)?,Parsed How many hours per week do you do sports (in whole hours)?,Parsed Give a random number,Parsed Time you went to bed Yesterday,category_goodday_1,category_goodday_2,SleepDeviation,Norm.SleepDeviation,Norm.Stress,Norm.Sport,WellBeing
52,4-1-2025 12:18:11,AI & Data Science,yes,0,sigma,nee,intersex,yes,not possible,450,60,3,358,04:00,Happy,Friends,450.0,60.0,3.0,358.0,4.0,mood,friends/family,5.5,0.5371669004207573,0.4,0.043478260869565216,0.3268817204301075
53,4-1-2025 12:18:11,AI & Data Science,no,0,mu,ja,female,yes,]1995-2000],150,60,2,42,2am,Good meal,Sunny day,150.0,60.0,2.0,42.0,2.0,food,weather,3.5,0.7054698457223001,0.4,0.028985507246376812,0.37815178432289226
54,4-1-2025 12:18:12,AI & Data Science,yes,1,sigma,ja,not willing to answer,yes,not possible,375,6,10,61,23-00,Az winning,Went to the gym,375.0,6.0,10.0,61.0,23.0,mood,sport,0.5,0.9579242636746144,0.94,0.14492753623188406,0.6809505999688329
55,4-1-2025 12:18:12,AI & Data Science,yes,0,mu,ja,male,yes,]1995-2000],200,13,6,7,00:00,Sunny,Pilsie,200.0,13.0,6.0,7.0,0.0,weather,alchol/drugs,1.5,0.8737727910238429,0.87,0.08695652173913043,0.6102431042543244
56,4-1-2025 12:18:13,AI & Data Science,yes,1,mu,ja,male,yes,]2000-2005],350,0,5,69,4am,Free time,Videogames,350.0,0.0,5.0,69.0,4.0,sleep/rest,sport,5.5,0.5371669004207573,1.0,0.07246376811594203,0.5365435561788998
57,4-1-2025 12:18:13,"Business, Finance & Econometrics",yes,0,mu,nee,female,yes,]2000-2005],500,2,4,7,01.00,"Sun, good food, being productive",Travelling,500.0,2.0,4.0,7.0,1.0,weather,holiday,2.5,0.7896213183730715,0.98,0.057971014492753624,0.6091974442886083
58,4-1-2025 12:18:13,AI & Data Science,no,0,mu,unknown,male,yes,]1995-2000],400,60,6,87,00.30,Praying 5 times on time,Seeing my parents and my younger brother doing fine,400.0,60.0,6.0,87.0,0.5,friends/family,friends/family,2.0,0.8316970546984572,0.4,0.08695652173913043,0.4395511921458626
59,4-1-2025 12:18:14,AI & Data Science,no,0,mu,ja,male,yes,]2000-2005],187,11,7,6969696,2.30,Gym,Edda,187.0,11.0,7.0,6969696.0,2.5,sport,study/work,4.0,0.6633941093969145,0.89,0.10144927536231885,0.5516144615864111
60,4-1-2025 12:18:14,AI & Data Science,yes,1,mu,ja,female,not willing to say,]2000-2005],500,60,6,5,1am,sun,more sun ,500.0,60.0,6.0,5.0,1.0,weather,weather,2.5,0.7896213183730715,0.4,0.08695652173913043,0.4255259467040673
61,4-1-2025 12:18:14,AI & Data Science Science,no,0,mu,ja,female,yes,]1995-2000],350,35,7,95836,1 AM,Getting enough sleep,Healthy breakfast,350.0,35.0,7.0,95836.0,1.0,sleep/rest,food,2.5,0.7896213183730715,0.65,0.10144927536231885,0.5136901979117968
